//gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,time
-0.002528,-0.000607,0.000822,-0.047449,-0.040021,0.997333,39486.619416
0.002799,0.005785,0.000822,-0.034265,0.014270,1.013995,39486.624387
0.001733,0.003654,-0.003439,-0.007715,0.055377,1.007770,39486.629416
-0.001462,-0.004868,0.000822,-0.003504,0.033313,0.986346,39486.634385
-0.002528,0.001524,0.002953,-0.027399,-0.025464,0.989734,39486.639423
-0.006789,-0.001672,0.007214,-0.045984,-0.044965,0.996692,39486.644380
0.002799,0.001524,-0.000243,-0.043970,-0.001203,1.008594,39486.649414
0.000668,-0.000607,-0.006634,-0.009912,0.053271,1.003741,39486.654390
-0.004658,0.000459,-0.001308,0.005469,0.048327,0.994220,39486.659421
0.000668,0.000459,-0.000243,-0.020166,-0.005963,0.988635,39486.664383
-0.000397,-0.003803,0.008279,-0.055780,-0.048627,0.984973,39486.669417
0.000668,-0.001672,0.004018,-0.054590,-0.019880,0.987262,39486.674415
-0.000397,0.002589,0.000822,-0.018152,0.030383,1.001636,39486.679389
-0.002528,-0.000607,-0.003439,0.004004,0.049517,1.008777,39486.684410
-0.002528,-0.000607,-0.000243,-0.017877,0.007037,0.995044,39486.689391
0.002799,0.000459,0.004018,-0.046167,-0.039472,0.970508,39486.694415
0.001733,-0.000607,-0.000243,-0.048914,-0.037641,0.988452,39486.699391
-0.004658,0.000459,-0.002373,-0.021906,0.024340,1.014087,39486.704411
0.000668,0.003654,-0.006634,-0.000208,0.062243,1.018298,39486.709390
0.001733,0.000459,-0.001308,-0.006159,0.031115,0.991748,39486.714416
0.003864,-0.002737,0.001888,-0.032984,-0.033429,0.981860,39486.719387
-0.003593,-0.000607,-0.000243,-0.045252,-0.042218,0.992114,39486.724411
0.002799,0.003654,0.001888,-0.040308,0.001818,1.016925,39486.729394
-0.000397,-0.001672,-0.005569,-0.012384,0.047137,0.996692,39486.734412
0.001733,0.001524,-0.000243,-0.019617,-0.018872,0.985248,39486.739388
-0.002528,-0.002737,-0.001308,-0.042688,-0.049085,1.000354,39486.744413
-0.003593,-0.004868,0.004018,-0.041590,-0.008252,1.001452,39486.749394
0.002799,-0.000607,0.007214,-0.020166,0.039080,1.002185,39486.754418
0.000668,0.001524,-0.003439,0.003363,0.048693,1.000079,39486.759393
